960,1
1029,1
1227,1
1368,1
1828,1
1857,1
1879,1
2021,1
2165,1
2214,1
2226,1
2525,1
2718,1
2888,1
3033,1
3347,1
3392,1
3813,1
4115,1
4192,1
4503,1
4640,1
4663,1
4666,1
4911,1
4945,1
5316,1
5332,1
5360,1
5424,1
5592,1
5777,1
5892,1
5980,1
6589,1
6895,1
7006,1
7109,1
7132,1
7186,1
7239,1
7398,1
7459,1
7495,1
7647,1
7655,1
7678,1
7732,1
7915,1
8346,1
8408,1
8449,1
8704,1
8748,1
8866,1
9279,1
9291,1
9303,1
9311,1
9443,1
9506,1
9547,1
9671,1
9782,1
9900,1
9984,1
10256,1
10344,1
10401,1
10406,1
10547,1
10667,1
10933,1
10952,1
11398,1
11573,1
11582,1
11624,1
12023,1
12379,1
13029,1
13052,1
13169,1
13316,1
13339,1
13710,1
13808,1
14381,1
14742,1
15574,1
16350,1
18035,1
19058,1
19279,1
20109,1
20835,1
21171,1
22039,1
22236,1
22365,1
31447,1
34442,1
39305,1
42366,1
43440,1
44360,1
44434,1
44629,1
44975,1
47490,1
48860,1
49288,1
51109,1
51706,1
54589,1
63640,1
68198,1
79931,1
81548,1
83152,1
87297,1
92636,1
99359,1
104631,1
106269,1
110165,1
111202,1
114000,1
118714,1
119434,1
122225,1
124244,1
130167,1
131338,1
132323,1
133268,1
133733,1
139311,1
140569,1
155067,1
155543,1
187785,1
